name,bbref_link,bbref_id,career_ppg,birth_location,birth_country,birth_state,birth_city,start_year,end_year,high_school_state,high_school_city,high_school_name,all_star_appearances,Location,Latitude,Longitude
Marko Guduric,/players/g/gudurma01.html,gudurma01,4.0,Serbia,RS,,Priboj,2020,2020,,,,0
Marko Jarić,/players/j/jaricma01.html,jaricma01,7.1,Serbia,RS,,Belgrade,2003,2009,,,,0
Nikola Jokić,/players/j/jokicni01.html,jokicni01,16.9,Serbia,RS,,Sombor,2016,2020,,,,2
Nenad Krstić,/players/k/krstine01.html,krstine01,10.0,Serbia,RS,,Kraljevo,2005,2011,,,,0
Boban Marjanović,/players/m/marjabo01.html,marjabo01,6.2,Serbia,RS,,Zajecar,2016,2020,,,,0
Darko Miličić,/players/m/milicda01.html,milicda01,6.0,Serbia,RS,,Novi Sad,2004,2013,,,,0
Nemanja Nedović,/players/n/nedovne01.html,nedovne01,1.1,Serbia,RS,,Nova Varos,2014,2014,,,,0
Miroslav Raduljica,/players/r/radulmi01.html,radulmi01,3.6,Serbia,RS,,Belgrade,2014,2015,,,,0
Igor Rakočević,/players/r/rakocig01.html,rakocig01,1.9,Serbia,RS,,Belgrade,2003,2003,,,,0
Željko Rebrača,/players/r/rebraze01.html,rebraze01,5.9,Serbia,RS,,Apatin,2002,2006,,,,0
Alen Smailagić,/players/s/smailal01.html,smailal01,4.2,Serbia,RS,,Belgrade,2020,2020,,,,0
Dragan Tarlać,/players/t/tarladr01.html,tarladr01,2.4,Serbia,RS,,Belgrade,2001,2001,,,,0
Miloš Teodosić,/players/t/teodomi01.html,teodomi01,8.0,Serbia,RS,,Valjevo,2018,2019,,,,0
Mirsad Türkcan,/players/t/turkcmi01.html,turkcmi01,1.9,Serbia,RS,,Novi Pazar,2000,2000,,,,0
Slavko Vraneš,/players/v/vranesl01.html,vranesl01,0.0,Serbia,RS,,Belgrade,2004,2004,,,,0
Aleksandar Đorđević,/players/d/djordal01.html,djordal01,3.1,Serbia,RS,,Belgrade,1997,1997,,,,0
Richard Petruška,/players/p/petruri01.html,petruri01,2.4,Slovakia,SK,,Levice,1994,1994,,,,0
Primož Brezec,/players/b/brezepr01.html,brezepr01,7.2,Slovenia,SI,,Postojna,2002,2010,,,,0
Vlatko Čančar,/players/c/cancavl01.html,cancavl01,1.2,Slovenia,SI,,Koper,2020,2020,,,,0
Luka Dončić,/players/d/doncilu01.html,doncilu01,24.4,Slovenia,SI,,Ljubljana,2019,2020,,,,1
